student,mode,tag,n_seeds,macro_f1_mean,macro_f1_std,acc_mean,acc_std,ece_mean,params,macro_f1
google/bert_uncased_L-4_H-256_A-4,ablation_no_hidden,no_hidden,1,0.8369271067910099,,0.8504392048081368,,0.08640353769491076,11172102.0,0.8369 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,ablation_per_batch,per_batch,1,0.8388706516324196,,0.853213129912159,,0.08592714549102998,11172102.0,0.8389 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,dmthd,,3,0.8377923182806938,0.001148289625342857,0.8512097395592542,0.0015040238323272448,0.08532927286222584,11172102.0,0.8378 ± 0.0011
google/bert_uncased_L-4_H-256_A-4,dmthd_hetero,,3,0.8373122054388432,0.0010065497929063747,0.851209739559254,0.0003531033822588468,0.07913116878565957,11172102.0,0.8373 ± 0.0010
google/bert_uncased_L-4_H-256_A-4,ft,,3,0.8392538023905841,0.00031414835647053006,0.8524425951610417,0.0007430768038983622,0.0416427617492193,11172102.0,0.8393 ± 0.0003
google/bert_uncased_L-4_H-256_A-4,skd,,3,0.8404527879794698,0.0017122085492360046,0.8536754507628294,0.0015158202783869972,0.0805410327506664,11172102.0,0.8405 ± 0.0017
google/bert_uncased_L-4_H-256_A-4,skd_hetero,,3,0.8404527879794698,0.0017122085492360046,0.8536754507628294,0.0015158202783869972,0.0805410327506664,11172102.0,0.8405 ± 0.0017
google/bert_uncased_L-4_H-256_A-4,sweep_T_1.0,sweep_T_1.0,1,0.8385627827310733,,0.8525196486361535,,0.04264491441703976,11172102.0,0.8386 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_T_2.0,sweep_T_2.0,1,0.8401902336073682,,0.8543689320388349,,0.07366569802488818,11172102.0,0.8402 ± 0.0000
google/bert_uncased_L-4_H-256_A-4,sweep_T_8.0,sweep_T_8.0,1,0.8391247668370713,,0.853213129912159,,0.08425972965157147,11172102.0,0.8391 ± 0.0000
