run,student,variant,macro_f1,fpr,recall,margin
deberta-xsmall/dmthd_hetero/seed1,deberta-xsmall,dmthd_hetero,0.8840988129576477,0.3420158550396376,0.7301282051282051,0.3881123500885675
deberta-xsmall/dmthd_hetero/seed2,deberta-xsmall,dmthd_hetero,0.8829441618281152,0.347678369195923,0.7134615384615385,0.3657831692656155
deberta-xsmall/dmthd_hetero/seed3,deberta-xsmall,dmthd_hetero,0.8813471793478528,0.3510758776896942,0.7442307692307693,0.393154891541075
deberta-xsmall/ft/seed1,deberta-xsmall,ft,0.8814504762195844,0.33748584371460927,0.7333333333333333,0.395847489618724
deberta-xsmall/ft/seed2,deberta-xsmall,ft,0.8834407496451577,0.2638731596828992,0.6884615384615385,0.42458837877863925
deberta-xsmall/ft/seed3,deberta-xsmall,ft,0.8825931049157364,0.35334088335220837,0.7294871794871794,0.3761462961349711
deberta-xsmall/skd/seed1,deberta-xsmall,skd,0.8857193239588939,0.3159682899207248,0.7019230769230769,0.3859547870023521
deberta-xsmall/skd/seed2,deberta-xsmall,skd,0.8890778474490816,0.32842582106455265,0.725,0.39657417893544733
deberta-xsmall/skd/seed3,deberta-xsmall,skd,0.8846755886534847,0.32842582106455265,0.7512820512820513,0.42285623021749863
deberta-xsmall/skd_hetero/seed1,deberta-xsmall,skd_hetero,0.8857193239588939,0.3159682899207248,0.7019230769230769,0.3859547870023521
deberta-xsmall/skd_hetero/seed2,deberta-xsmall,skd_hetero,0.8890778474490816,0.32842582106455265,0.725,0.39657417893544733
deberta-xsmall/skd_hetero/seed3,deberta-xsmall,skd_hetero,0.8846755886534847,0.32842582106455265,0.7512820512820513,0.42285623021749863
deberta-xsmall/uniform/seed1,deberta-xsmall,uniform,0.8837950017633535,0.3522083805209513,0.7532051282051282,0.40099674768417687
deberta-xsmall/uniform/seed2,deberta-xsmall,uniform,0.886799622705551,0.34541336353340885,0.7532051282051282,0.40779176467171935
deberta-xsmall/uniform/seed3,deberta-xsmall,uniform,0.8879548368702951,0.33069082672706684,0.7282051282051282,0.3975143014780613
deberta-xsmall/uniform_hetero/seed1,deberta-xsmall,uniform_hetero,0.8888924203516458,0.33408833522083803,0.7224358974358974,0.3883475622150594
deberta-xsmall/uniform_hetero/seed2,deberta-xsmall,uniform_hetero,0.8895230521887779,0.3408833522083805,0.7583333333333333,0.4174499811249528
deberta-xsmall/uniform_hetero/seed3,deberta-xsmall,uniform_hetero,0.8756446677243344,0.29898074745186864,0.6897435897435897,0.3907628422917211
distilbert/dmthd/seed1,distilbert,dmthd,0.8943365294959403,0.2718006795016987,0.6134615384615385,0.3416608589598398
distilbert/dmthd/seed2,distilbert,dmthd,0.8948819271393295,0.21630804077010193,0.5628205128205128,0.3465124720504109
distilbert/dmthd/seed3,distilbert,dmthd,0.8987723090894558,0.3159682899207248,0.6044871794871794,0.28851888956645466
distilbert/dmthd_hetero/seed1,distilbert,dmthd_hetero,0.8934103886343041,0.26840317100792754,0.6339743589743589,0.3655711879664314
distilbert/dmthd_hetero/seed2,distilbert,dmthd_hetero,0.9011810413994237,0.24575311438278596,0.607051282051282,0.36129816766849604
distilbert/dmthd_hetero/seed3,distilbert,dmthd_hetero,0.8951235328771395,0.24235560588901472,0.7102564102564103,0.46790080436739556
distilbert/ft/seed1,distilbert,ft,0.8905602208266105,0.19026047565118911,0.5942307692307692,0.40397029357958014
distilbert/ft/seed2,distilbert,ft,0.890090627349667,0.21970554926387317,0.5737179487179487,0.3540123994540755
distilbert/ft/seed3,distilbert,ft,0.8915283522903312,0.26613816534541335,0.6076923076923076,0.3415541423468943
distilbert/skd/seed1,distilbert,skd,0.8962704982291535,0.21630804077010193,0.5538461538461539,0.33753811307605197
distilbert/skd/seed2,distilbert,skd,0.8961180141945513,0.22197055492638731,0.607051282051282,0.3850807271248947
distilbert/skd/seed3,distilbert,skd,0.8965184499112061,0.24575311438278596,0.6487179487179487,0.4029648343351628
distilbert/skd_hetero/seed1,distilbert,skd_hetero,0.8962704982291535,0.21630804077010193,0.5538461538461539,0.33753811307605197
distilbert/skd_hetero/seed2,distilbert,skd_hetero,0.8961180141945513,0.22197055492638731,0.607051282051282,0.3850807271248947
distilbert/skd_hetero/seed3,distilbert,skd_hetero,0.8965184499112061,0.24575311438278596,0.6487179487179487,0.4029648343351628
distilbert/uniform/seed1,distilbert,uniform,0.8967593173837914,0.22083805209513024,0.5858974358974359,0.3650593838023057
distilbert/uniform/seed2,distilbert,uniform,0.8971388749704899,0.144960362400906,0.5435897435897435,0.3986293811888375
distilbert/uniform/seed3,distilbert,uniform,0.8939824478508317,0.29218573046432617,0.6288461538461538,0.33666042338182767
distilbert/uniform_hetero/seed1,distilbert,uniform_hetero,0.894053837579175,0.23103057757644394,0.6282051282051282,0.39717455062868423
distilbert/uniform_hetero/seed2,distilbert,uniform_hetero,0.8984642884500511,0.2434881087202718,0.6185897435897436,0.3751016348694718
distilbert/uniform_hetero/seed3,distilbert,uniform_hetero,0.9000723712661595,0.25028312570781425,0.6121794871794872,0.361896361471673
teachers/bert-large,teachers,bert-large,0.8972892994715852,0.22423556058890148,0.5846153846153846,0.36037982402648316
teachers/deberta-base,teachers,deberta-base,0.8719818649374179,0.4088335220838052,0.7730769230769231,0.3642434009931179
teachers/hatebert,teachers,hatebert,0.8886761313725815,0.3171007927519819,0.6955128205128205,0.3784120277608386
teachers/irony,teachers,irony,0.8926276297685806,0.2944507361268403,0.717948717948718,0.42349798182187764
