dir_tag,mode,tag,macro_f1,macro_f1_std,n_seeds,params,params_M,flops_G_per_seq,latency_ms_per_sample_b1
deberta-xsmall,skd_hetero,,0.8864909200204867,0.0023003241048929974,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,uniform,,0.8861831537797332,0.0021473431215364757,3,70832262.0,70.832262,10.5699456,23.49107269139949
deberta-xsmall,uniform_hetero,,0.8846867134215861,0.007836987107421606,3,70832262.0,70.832262,10.5699456,23.49107269139949
distilbert,dmthd,,0.8959969219082419,0.002418976054364458,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,dmthd_hetero,,0.8965716543036223,0.004082713907242799,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,ft,,0.8907264001555362,0.0007331268159559277,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,skd,,0.8963023207783035,0.00020210565743940167,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,skd_hetero,,0.8963023207783035,0.00020210565743940167,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,uniform,,0.8959602134017044,0.0017232769426499806,3,66958086.0,66.958086,11.17481472,5.224060355473625
distilbert,uniform_hetero,,0.8975301657651285,0.0031161074802077333,3,66958086.0,66.958086,11.17481472,5.224060355473625
hatebert,teacher,,0.8886761313725815,,1,,109.486854,22.348440576,9.93784595702607
implicit-spec,teacher,,0.89306129955507,,1,,,,
irony,teacher,,0.8926276297685806,,1,,124.650246,22.348440576,10.023979492189028
