dir,student,mode,seed,params,macro_f1,accuracy,ece,roc_auc,pr_auc,train_time_s,tag,benign_fpr,ironic_recall,obf_leet,obf_swap,obf_space,obf_mixed,int8_macro_f1,int8_size_mb,fp32_size_mb,int8_lat_b1,fp32_lat_b1
/kaggle/working/runs/tweets/bert-mini/skd/seed2,bert-mini,skd,2,11172102.0,0.8423409199816208,0.8552935737401757,0.07899198908112523,,,185.68550157546997,,0.36579841449603623,0.7256410256410256,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/skd/seed3,bert-mini,skd,3,11172102.0,0.8390009067827603,0.8522884882108183,0.0817116745853115,,,187.09065055847168,,0.37032842582106457,0.7410256410256411,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ablation_per_batch/seed1,bert-mini,ablation_per_batch,1,11172102.0,0.8388706516324196,0.853213129912159,0.08592714549102998,,,207.05685424804688,per_batch,0.4088335220838052,0.8012820512820513,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_tau_2.0/seed1,bert-mini,sweep_tau_2.0,1,11172102.0,0.8390271843329903,0.853213129912159,0.08581296618729897,,,207.9037094116211,sweep_tau_2.0,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ablation_no_hidden/seed1,bert-mini,ablation_no_hidden,1,11172102.0,0.8369271067910099,0.8504392048081368,0.08640353769491076,,,187.45970463752747,no_hidden,0.3522083805209513,0.7711538461538462,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/skd_hetero/seed1,bert-mini,skd_hetero,1,11172102.0,0.8400165371740281,0.8534442903374942,0.08091943458556247,,,186.21065711975098,,0.38391845979614947,0.7762820512820513,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/skd_hetero/seed2,bert-mini,skd_hetero,2,11172102.0,0.8423409199816208,0.8552935737401757,0.07899198908112523,,,188.40241384506226,,0.36579841449603623,0.7256410256410256,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/skd_hetero/seed3,bert-mini,skd_hetero,3,11172102.0,0.8390009067827603,0.8522884882108183,0.0817116745853115,,,186.8440248966217,,0.37032842582106457,0.7410256410256411,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform/seed1,bert-mini,uniform,1,11172102.0,0.8372106763327644,0.8506703652334721,0.08769778774339071,,,195.85132598876953,,0.33861834654586637,0.7467948717948718,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform/seed2,bert-mini,uniform,2,11172102.0,0.8406118058551919,0.8546000924641701,0.0842905597545127,,,197.83862590789795,,0.39184597961494905,0.7807692307692308,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform/seed3,bert-mini,uniform,3,11172102.0,0.8377129155074665,0.8518261673601479,0.08733328307496138,,,195.22132539749146,,0.41676104190260477,0.7416666666666667,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_alpha_0.6/seed1,bert-mini,sweep_alpha_0.6,1,11172102.0,0.8393892169159537,0.8539066111881646,0.09342465764992336,,,204.45638370513916,sweep_alpha_0.6,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_T_2.0/seed1,bert-mini,sweep_T_2.0,1,11172102.0,0.8401902336073682,0.8543689320388349,0.07366569802488818,,,206.4191677570343,sweep_T_2.0,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform_hetero/seed1,bert-mini,uniform_hetero,1,11172102.0,0.8388644811291993,0.8536754507628294,0.08196156767855295,,,199.5714979171753,,0.4246885617214043,0.8006410256410257,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform_hetero/seed2,bert-mini,uniform_hetero,2,11172102.0,0.8395796863101946,0.8539066111881646,0.07725556905050276,,,198.82683849334717,,0.39071347678369195,0.75,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/uniform_hetero/seed3,bert-mini,uniform_hetero,3,11172102.0,0.8350638274256413,0.8497457235321313,0.08445325732864939,,,198.0857858657837,,0.4190260475651189,0.7743589743589744,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/sweep_alpha_0.2/seed1,bert-mini,sweep_alpha_0.2,1,11172102.0,0.8385732966975704,0.8527508090614887,0.07155772841092453,,,205.548095703125,sweep_alpha_0.2,,,,,,,,,,,
/kaggle/working/runs/tweets/bert-mini/ablation_no_aux/seed1,bert-mini,ablation_no_aux,1,11172102.0,0.8363527719551866,0.8499768839574665,0.08759812756484156,,,200.71100163459778,no_aux,0.33408833522083803,0.7435897435897436,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/dmthd_hetero/seed1,bert-small,dmthd_hetero,1,28766726.0,0.8482284181374351,0.86084142394822,0.0871327395894932,,,304.1339678764343,,0.3793884484711212,0.6775641025641026,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/dmthd_hetero/seed2,bert-small,dmthd_hetero,2,28766726.0,0.8482995269971466,0.8615349052242256,0.0911622324229058,,,306.6566104888916,,0.3714609286523216,0.7275641025641025,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/dmthd_hetero/seed3,bert-small,dmthd_hetero,3,28766726.0,0.8464430135036908,0.8601479426722145,0.09223896282941615,,,305.47684931755066,,0.4088335220838052,0.7301282051282051,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/ft/seed1,bert-small,ft,1,28766726.0,0.8511035372982233,0.863384188626907,0.07242087231043917,,,271.9078230857849,,0.4258210645526614,0.7737179487179487,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/ft/seed2,bert-small,ft,2,28766726.0,0.8465221611338348,0.8601479426722145,0.06641283846265231,,,271.8919403553009,,0.43261608154020387,0.7525641025641026,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/ft/seed3,bert-small,ft,3,28766726.0,0.8430923396913313,0.855755894590846,0.06718679077637399,,,270.8688588142395,,0.33975084937712347,0.683974358974359,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/dmthd/seed1,bert-small,dmthd,1,28766726.0,0.8458714754323032,0.8596856218215442,0.09554816426996052,,,298.2238392829895,,0.4144960362400906,0.7301282051282051,,,,,0.8447815255881209,73.02497959136963,109.76428604125977,21.43877542968653,25.28351475781676
/kaggle/working/runs/tweets/bert-small/dmthd/seed2,bert-small,dmthd,2,28766726.0,0.8509016320226759,0.8626907073509015,0.07938504132252294,,,248.34636449813843,,0.36579841449603623,0.7211538461538461,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/dmthd/seed3,bert-small,dmthd,3,28766726.0,0.8444544074339105,0.8576051779935275,0.1004865316401132,,,297.4489903450012,,0.4144960362400906,0.6974358974358974,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/skd/seed1,bert-small,skd,1,28766726.0,0.8438735580311567,0.8564493758668515,0.08712468140939844,,,283.9504945278168,,0.30690826727066817,0.6730769230769231,,,,,,,,,
/kaggle/working/runs/tweets/bert-small/skd/seed2,bert-small,skd,2,28766726.0,0.8524670322584894,0.864539990753583,0.09012526016763331,,,284.69570112228394,,0.3556058890147225,0.7096153846153846,,,,,,,,,
